id,topic,variant,question,answer,ref,source,visibility,type,weight,notes,created,modified,verified,status,tags
26,Powerplant,P2+/T2+,How are the contents of the supply tanks separated (or not)?,They are completely separate at their base. (06- 6),,,Hidden,Knowledge,0.49616397684440017,,20/05/2021,04/06/2025,,ok,
27,Lifting System,P2+/T2+,How is the MRGB connected to the aircraft?,"4 ARIS dampers, 2 torque struts, 1 side load strut. (01-42)",,,Reveal,Knowledge,0.6580152809619904,,20/05/2021,05/06/2025,,ok,
28,Powerplant,P2+/T2+,"With a total fuel load of 120 kgs, how is fuel transferred from the main to the supply tanks?",By two transfer pumps.,,,Hidden,Knowledge,0.25159415882080793,,20/05/2021,04/06/2025,,ok,fuel
29,Powerplant,P2+/T2+,What is the maximum engine oil temperature in flight (answer to the variant you have trained)?,T2+: 110°C P2+: 129.5°C,,,Hidden,Knowledge,0.35437928000465035,,20/05/2021,04/06/2025,Yes,ok,fadec
30,Powerplant,P2+/T2+,How is fuel shut off to an engine initiated in the event of an engine fire?,Automatically when the FIRE button is pressed. (7 – 8 Flight Manual),,,Hidden,Knowledge,0.1259429156780243,,20/05/2021,04/06/2025,,ok,"fire,fuel"
31,Powerplant,P2+/T2+,What would happen to the FADECs if there was a double generator failure in flight?,Nothing. (06-82),,,Hidden,Knowledge,0.299656271468848,,20/05/2021,04/06/2025,,ok,fadec
32,Lifting System,P2+/T2+,Why are flexible couplings installed in the aft tail rotor drive shaft?,To correct for misalignment and variations in length. (03-16),,,Reveal,Knowledge,0.11317576421424748,,20/05/2021,05/06/2025,,ok,
33,Powerplant,P2+/T2+,What are the indications of a failure of a main fuel tank sensor?,F QTY DEGR caution on the CAD.,,,Hidden,Knowledge,0.15403185877949,,20/05/2021,04/06/2025,,ok,fuel
34,Lifting System,P2+/T2+,"If both MRGB oil pressure switches detect low system pressure in flight, what warnings would you expect to see?","XMSN OIL P cautions on the CAD, XMSN OIL P warning on the CWP, gong audio warning. (Flt Man 3-10)",,,Reveal,Knowledge,0.6329895392991601,,20/05/2021,05/06/2025,,ok,fadec
35,Uncategorised,P2+/T2+,When is the CAD/VEMD self-test sequence initiated?,When the battery master switch is switched on.,,,Hidden,Knowledge,0.19576748181134465,,20/05/2021,04/06/2025,,ok,
36,Lifting System,P2+/T2+,"In the cyclic control run, what is the purpose of the input isolating linkage?",To eliminate undesired control inputs from the main transmission due to vibration.,,,Reveal,Knowledge,0.7140484321862459,,20/05/2021,05/06/2025,,ok,
37,Uncategorised,P2+/T2+,Why must the MASTER CAUTION be acknowledged by pressing the CDS/AUDIO RESET on the cyclic?,"To permit other cautions to be displayed, if necessary. ? TBCPossibly it's to allow the Amber Master Caution to reset and thus allow subsequent cautions to create a visual alert.",,,Hidden,Knowledge,0.7563716364093125,,20/05/2021,04/06/2025,,ok,
38,Uncategorised,P2+/T2+,"If a parameter is invalid on the FLI, how is it displayed?",The numerical value disappears and the title (e.g. TQ) is displayed is yellow.,,,Hidden,Knowledge,0.47601038636639714,,20/05/2021,04/06/2025,,ok,fadec
39,Limitations,P2+/T2+,"With both engines operating, what is the maximum continuous FLI limitation?",FLI 9.0.,,,Hidden,Knowledge,0.26640738267451525,,20/05/2021,04/06/2025,,ok,"fadec,opc"
40,Limitations,,What is the maximum continuous AEO torque?,2 x 69%.,,,Hidden,Knowledge,0.2161979265511036,,20/05/2021,04/06/2025,,ok,opc
41,Limitations,P2+/T2+,What is the maximum airspeed to use the windscreen wipers?,80kts. (TBC ?),,,Reveal,Knowledge,0.0838707722723484,,20/05/2021,04/06/2025,,ok,opc
42,Limitations,P2+/T2+,What is the maximum sloping ground limits with high skids and an unserviceable MMI?,6° in all directions.,,,Hidden,Knowledge,0.591386646963656,,20/05/2021,04/06/2025,,ok,opc
43,Limitations,P2+/T2+,When is the engine overspeed protection system initiated (answer to the variant you have trained)?,T2+: 114% N2 P2+: 112.9% N2.,,,Hidden,Knowledge,0.1482339845970273,,20/05/2021,04/06/2025,,ok,opc
44,Limitations,P2+/T2+,At what NR are a flashing ROTOR RPM warning light and continuous audio tone activated?,112% and above.,,,Hidden,Knowledge,0.7395852208137512,,20/05/2021,04/06/2025,,ok,opc
45,Limitations,P2+/T2+,What is the maximum rotor RPM for application of the rotor brake?,50%.,,,Hidden,Knowledge,0.33726709010079503,,20/05/2021,04/06/2025,,ok,opc
46,Limitations,P2+/T2+,What is the maximum windspeed for starting/stopping the rotors.,50 kts all around,,,Hidden,Knowledge,0.6518551488406956,,20/05/2021,04/06/2025,,ok,opc
47,Limitations,P2+/T2+,At what NR are a flashing ROTOR RPM warning light and continuous audio tone activated?,112% and above,,,Hidden,Knowledge,0.494240490719676,,20/05/2021,04/06/2025,,ok,opc
48,Limitations,P2+/T2+,What is the maximum rotor RPM for application of the rotor brake?,50%,,,Hidden,Knowledge,0.9718359527178109,,20/05/2021,04/06/2025,,ok,opc
49,Limitations,P2+/T2+,What is the maximum windspeed for starting/stopping the rotors.,50 kts all around,,,Hidden,Knowledge,0.9403341528959571,,20/05/2021,04/06/2025,,ok,opc
50,Cat A,P2+/T2+,What speed is VTOSS:,40 kts,,,Reveal,Knowledge,0.6124080559238791,,20/05/2021,04/06/2025,,ok,opc
51,Cat A,P2+/T2+,What is the landing decision point (LDP) for a VTOL 3 approach?,240',,,Reveal,Knowledge,0.4186318027786911,,20/05/2021,04/06/2025,,ok,opc
52,Powerplant,P2+/T2+,What is the typical fuel burn rate (per hour) used for planning purposes?,200kg/hr,,,Hidden,Knowledge,0.922457835637033,,20/05/2021,04/06/2025,,ok,fuel
53,Cat A,P2+/T2+,What is the take-off decision point (TDP) for a clear area departure?,20'/30kts,,,Reveal,Knowledge,0.7896485701203345,,20/05/2021,04/06/2025,,ok,opc
55,Limitations,P2+/T2+,What is the minimum IAS for engaging the IAS hold?,60kts,,,Hidden,Limits,0.906539452727884,,20/05/2021,04/06/2025,,ok,opc
57,Powerplant,P2+/T2+,Engine start should be aborted if light-up is not achieved within what time?,15 secs,,,Hidden,Knowledge,0.6321627511642873,,25/05/2021,04/06/2025,,ok,
58,Instruments,P2+/T2+,The Triple Rotor RPM Indication is a 3 pointer instrument that indicates:,Main rotor RPM and power turbine speeds for both engines.,,,Hidden,Knowledge,0.43811006657779217,,25/05/2021,04/06/2025,,ok,if
59,Instruments,P2+/T2+,"CAD, CPDS and VEMD are abbreviations for?","- Caution & Advisory Display, - Central Panel Display System- Vehicle & Engine Monitoring Display",,,Hidden,Knowledge,0.7085943752899766,,25/05/2021,04/06/2025,,ok,if
60,Instruments,P2+/T2+,Cautions are displayed on the screens of the CPDS in what colour?,Amber,,,Hidden,Knowledge,0.561379948630929,,25/05/2021,04/06/2025,,ok,if
61,Lifting System,P2+/T2+,The MGB bay has what type of fire safety System?,Has no fire detection system,,,Reveal,Knowledge,0.3147129509598017,,25/05/2021,05/06/2025,,ok,fire
62,Lifting System,P2+/T2+,What audio/visual indications appear when the Mast Moment Indictor enters the RED range?,The LIMIT symbol appears on the upper VEMD screen and the warning GONG comes on,,,Hidden,Knowledge,0.7930456595495342,,25/05/2021,04/06/2025,,ok,
63,Powerplant,P2+/T2+,"During normal operation, what is the correct position of the prime pumps?","On for start, Off post start.",,,Hidden,Knowledge,0.9790647602640092,,25/05/2021,04/06/2025,,ok,
64,Powerplant,P2+/T2+,In a OEI situation the 30” power topping function:,Is the default setting. ?? TBC,,,Hidden,Knowledge,0.33194909524172544,,25/05/2021,04/06/2025,,ok,
65,Powerplant,P2+/T2+,"What warning is given to the pilot when approaching power band limits (5 min, 2 min & 30 second)?",A LIMIT symbol with a blinking red box appears with 5 seconds to go.,,,Hidden,Knowledge,0.8482458153739572,,25/05/2021,04/06/2025,,ok,
66,Uncategorised,P2+/T2+,The FLIGHT REPORT page automatically appears when?,When the engine N1 RPM <50% and the oil pressure of the main transmission <1 bar.,,,Hidden,Knowledge,0.4945077174343169,,25/05/2021,04/06/2025,,ok,fadec
67,Lifting System,P2+/T2+,The main components of the main transmission lubrication system are:,"Two oil pump, filler neck, oil filter, spray tubes & oil sight glass.",,,Hidden,,0.41934610903263086,,25/05/2021,04/06/2025,,ok,
68,Lifting System,P2+/T2+,How is the the main transmission oil cooled?,By two oil coolers mounted to the RH & LH side of the main transmission.,,,Hidden,,0.35487923165783286,,25/05/2021,04/06/2025,,ok,
69,Lifting System,P2+/T2+,The main transmission is attached to the airframe by:,- Four ARIS Dampers- One side load strut- Two torque struts,,,Hidden,,0.6936006182804704,,25/05/2021,04/06/2025,,ok,
70,Lifting System,P2+/T2+,The flexible couplings in the aft tail rotor drive shaft are installed to:,Correct for misalignment and variations in length.,,,Hidden,,0.3774090888909996,,25/05/2021,04/06/2025,,ok,
71,Lifting System,P2+/T2+,The rotor blades of the Fenestron are unevenly spaced for what reason?,Reduces tail rotor noise.,,,Hidden,,0.7321958192624151,,25/05/2021,04/06/2025,,ok,
72,Lifting System,P2+/T2+,In the event a hydraulic system 1 failure:,P & R SAS will become inoperative.,,,Hidden,,0.17772232368588448,,25/05/2021,04/06/2025,,ok,
73,Lifting System,P2+/T2+,The fuel transfer pumps have a dry operating time of:,Approx. 20 minutes.,,,Hidden,,0.6531585636548698,,25/05/2021,04/06/2025,,ok,fuel
74,Powerplant,P2+/T2+,What is the purpose of the foam core in the RH fuel supply tank?:,Is installed to avoid a simultaneous flame out of both engines.,,,Hidden,,0.8188788606785239,,25/05/2021,04/06/2025,,ok,fuel
75,Powerplant,P2+/T2+,Power supply to the FADEC`s is made by:,28V DC system and by engine mounted alternators.,,,Hidden,,0.5560134518891573,,25/05/2021,04/06/2025,,ok,fadec
76,Uncategorised,P2+/T2+,"In the event of an ADC2 failure, what consideration is there for NR?",The HIGH NR defaults to “on” permanently and must be engaged and disengaged above and below 55 KIAS.,,,Hidden,,0.9698689994402228,,25/05/2021,04/06/2025,,ok,
77,Lifting System,P2+/T2+,How is the P/R SAS normally selected on prior to flight?,It is selected on automatically during the start sequence.,,,Hidden,,0.09141953336074948,,25/05/2021,04/06/2025,,ok,"afcs,electrical,fadec"
78,Powerplant,P2+/T2+,What does a FADEC FAIL mean/require/imply?,Indicates a total failure of the control system and the pilot has the option to modulate the fuel flow with the twist grips.,,,Reveal,,0.06165249552577734,,25/05/2021,04/06/2025,,ok,fadec
79,Powerplant,P2+/T2+,"In the event of a FIRE warning, when the FIRE button is released:",The respective system will become “armed” but not “active” until the N1 <50%,,,Hidden,,0.4288136782124639,,25/05/2021,04/06/2025,,ok,fire
80,Instruments,P2+/T2+,"In normal operation, DC voltage is displayed:",On VEMD 2.,,,Hidden,,0.8308024629950523,,25/05/2021,04/06/2025,,ok,if
81,SAS+Autopilot,P2+/T2+,Yaw SEMA 2 is only active when what other functions are engaged?,Is only active with AP + A.TRIM engaged.,,,Hidden,,0.5576319685205817,,25/05/2021,04/06/2025,,ok,"afcs,opc"
82,Uncategorised,P2+/T2+,To perform a pre-flight test on the Autopilot the following conditions must be fulfilled:,"Both engines at IDLE, collective fully down & locked and cyclic stick centred",,,Hidden,,0.5671706595458089,,25/05/2021,04/06/2025,,ok,"afcs,fadec"
83,Uncategorised,P2+/T2+,Engaging the Go Around mode will select:,A vertical speed of 1000ft/min or 75kts depending on software.,,,Hidden,,0.3899022391997278,,25/05/2021,04/06/2025,,ok,electrical
84,Lifting System,P2+/T2+,How many magnetic chip detectors are fitted to the MGB:,1It's located on the port side rear area of the gearbox,01-28,Training Manual,Hidden,,0.3189868018962443,,25/05/2021,04/06/2025,,ok,
85,Limitations,P2+/T2+,The maximum permitted yaw rate in the hover with HIGH NR engaged is:,30°/sec,,,Hidden,,0.7003952395170927,,25/05/2021,04/06/2025,,ok,opc
86,Limitations,P2+/T2+,What is the maximum continuous XMSN oil temperature:,105°,,,Hidden,,0.7212491063401103,,25/05/2021,04/06/2025,,ok,opc
87,Limitations,P2+/T2+,The maximum airspeed with the sliding door open is:,60kts.,,,Hidden,,0.45524116838350887,,25/05/2021,04/06/2025,,ok,opc
88,Limitations,P2+/T2+,With a serviceable MMI what are the sloping ground limitations for a low skid aircraft:,"14° lateral, 12° nose up 8° nose down.",,,Hidden,,0.4926856164820492,,25/05/2021,04/06/2025,,ok,opc
89,Limitations,P2+/T2+,The maximum Take Off Power (5 min) FLI:,10.0 up to 65kts,,,Hidden,,0.31407388858497143,,25/05/2021,04/06/2025,,ok,"fadec,opc"
90,Limitations,P2+/T2+,The VNE OEI is:,110kts.Why?,,,Hidden,Unknown,0.352151601575315,,25/05/2021,04/06/2025,,ok,opc
91,Limitations,P2+/T2+,What is the minimum transient rotor rpm power on?,85%,,,Hidden,,0.8035974167287349,,25/05/2021,04/06/2025,,ok,opc
92,Limitations,P2+/T2+,What is the maximum continuous FLI limit with one engine in-operative:,11.0,,,Hidden,,0.4452800750732422,,25/05/2021,04/06/2025,,ok,"fadec,opc"
93,Cat A,P2+/T2+,The take-off decision point for a VTOL 2 departure is:,120ft.,,,Reveal,,0.365514203440398,,25/05/2021,04/06/2025,,ok,opc
94,Cat A,P2+/T2+,VTOSS is:,40kts.,,,Reveal,Knowledge,0.5741394450888038,,25/05/2021,04/06/2025,,ok,opc
95,Cat A,P2+/T2+,Clear heliport LDP is:,80ft & 40kts.,,,Reveal,Knowledge,0.5572681720368564,,25/05/2021,04/06/2025,,ok,opc
96,Cat A,P2+/T2+,Using the attached Figure 2.3 what is the VNE with a PA of 4000ft and OAT +30°:,135kts.,,,Reveal,,0.4547786959446967,,25/05/2021,04/06/2025,,needs_image,opc
97,Cat A,P2+/T2+,What speed is Vy:,65kts.,,,Reveal,,0.7314992719329892,,25/05/2021,04/06/2025,,ok,opc
98,Cat A,P2+/T2+,Are CAT A procedures permitted with doors open?,No,,,Reveal,,0.6254976503551006,,25/05/2021,04/06/2025,,ok,opc
99,Cat A,P2+/T2+,Using the attached Figure D1 what is the maximum take-off and landing gross mass with an OAT of 15° and PA of 2000ft:,2850kgsExam 1 paper 08/04/2020,,,Reveal,,0.45305578876286745,,25/05/2021,04/06/2025,,needs_image,opc
100,Cat A,P2+/T2+,What is the maximum operating altitude at 2720kgs:,12000ft PA.,,,Reveal,,0.6475094915367663,,25/05/2021,04/06/2025,,ok,opc
101,Mass and Loading,P2+/T2+,"The reference datum (RD) is the Station 0, it is located",2160 mm forward of the levelling point,,,Hidden,,0.9946304196491836,,25/05/2021,04/06/2025,,ok,
102,Uncategorised,P2+/T2+,Given the following parameters what is the centre of gravity of the aircraft (to nearest whole number)?WEIGHT ARM MOMENTBASIC WT 1900 4510PILOT 80 2412CO PILOT 80 2412AFT PAX 90 4243BAGGAGE 70 5000FUEL 540 4223,4337 mm,,,Hidden,,0.21385709568858147,,25/05/2021,04/06/2025,,ok,fuel
103,Airframe,P2+/T2+,How many fuel drains are there:,4,,,Hidden,,0.10726748593151568,,25/05/2021,04/06/2025,,ok,fuel
104,Powerplant,P2+/T2+,How is the engine oil contents noted?,Using a sight glass on the side of the engine.,,,Hidden,,0.2451643594540656,,25/05/2021,04/06/2025,,ok,
105,Emergency Actions,P2+/T2+,What is the landing priority in the event of a TRGB CHIP indication:,Land as soon as practicable,Card 17,FRCs,Reveal,,0.9477831111289562,,25/05/2021,04/06/2025,,ok,"frc,opc"
106,Emergency Actions,P2+/T2+,In the event of a FUEL PRESS caption illuminating in flight you should:,Switch on the Prime Pumps.,,,Reveal,,0.19203166244551537,,25/05/2021,04/06/2025,,ok,"fadec,fuel,opc"
107,Emergency Actions,P2+/T2+,FUEL VALVE caption indicates:,The Fuel Valve is in a non-commanded position.,,,Reveal,,0.6932319793850183,,25/05/2021,04/06/2025,,ok,"fuel,opc"
108,Emergency Actions,P2+/T2+,F QTY DEGR caption indicates:,One main fuel quantity sensor has failed.,,,Reveal,,0.4569611600600183,,25/05/2021,04/06/2025,,ok,opc
109,Instruments,P2+/T2+,The following colour logic is used for the FCDS:,"Yellow for references, Red for warningsMagenta for correct ILS mode.",,,Hidden,,0.8289771294221282,"Yellow, red and magenta",25/05/2021,04/06/2025,,ok,if
110,Instruments,P2+/T2+,The airspeed tendency indicator gives the airspeed predicted to be reached after:,5 seconds if the acceleration remains constant.,,,Hidden,,0.2953142561018467,,25/05/2021,04/06/2025,,ok,if
111,Instruments,P2+/T2+,The radar height is displayed at the right side of the ND up to what height?:,With a range up to 2500ft.,,,Hidden,,0.8933713403530419,,25/05/2021,04/06/2025,,ok,if
112,Instruments,P2+/T2+,With a GPS System Garmin 430 installed the wind indication will only be displayed on the ND if:,“Direct to” or an active flight plan is selected.,,,Hidden,,0.4960402864962816,,25/05/2021,04/06/2025,,ok,if
113,Powerplant,P2+/T2+,Name the 10 components of the powerplant system?,- engines and engine indication system- fuel system- power management- engine starting- ignition- oil cooling system- engine mounts- firewalls- fire protection- engine drain lines,,,Hidden,,0.307474238332361,,26/05/2021,04/06/2025,,ok,
114,Powerplant,P2+/T2+,How is power management and speed control of the engines achieved?,Via the FADECs,,,Hidden,,0.4178240890614688,,26/05/2021,04/06/2025,,ok,
115,Powerplant,P2+/T2+,What does FADEC stand for?,Full Authority Digital Engine Control,,,Hidden,,0.9823413155972957,,26/05/2021,04/06/2025,,ok,fadec
116,Powerplant,P2+/T2+,Where is the main fuel tank located?,In the sub floor structure of the fuselage between frame 3 and 5,,,Hidden,,0.7519142809323967,,26/05/2021,04/06/2025,,ok,fuel
117,Powerplant,P2+/T2+,How is the main fuel tank kept in position?,Velcro strips bonded to the topside of the tank and to the underside of the cabin floor keep the tank in position,,,Hidden,,0.8529722192324698,,26/05/2021,04/06/2025,,ok,fuel
118,Powerplant,P2+/T2+,What are the fuel tanks made from?,Impact resistant reinforced rubberized nylon fabric.,,,Hidden,,0.34511625068262214,,26/05/2021,04/06/2025,,ok,fuel
119,Powerplant,P2+/T2+,Where is the supply tank located?,The split supply tank is located in the sub floor between frames 5 and 8.,,,Hidden,,0.88106142077595,,26/05/2021,04/06/2025,,ok,
120,Powerplant,P2+/T2+,How is the certification requirement of total engine separation achieved in the context of fuel supply?,The supply tank consists of 2 sections separated by a fuselage mounted fence.,,,Hidden,,0.3488233885727823,,26/05/2021,04/06/2025,,ok,fuel
121,Powerplant,P2+/T2+,What is the purpose of the flange in the RH sidewall of the supply tank?,Allows connection of an auxiliary fuel tank (option),,,Hidden,,0.17038535000756383,,26/05/2021,04/06/2025,,ok,
122,Powerplant,P2+/T2+,What is the purpose of the flange on the RH rear top of the supply tank?,This provides connection to the vent system.,,,Hidden,,0.25256882421672344,,26/05/2021,04/06/2025,,ok,
123,Powerplant,P2+/T2+,What is the purpose of the fuel expansion tank?,It accommodates an increasing volume in the case of warm up.,,,Reveal,,0.04459820361807942,,26/05/2021,04/06/2025,,ok,fuel
124,Powerplant,P2+/T2+,What is the volume of the fuel expansion tank?,Approximately 14.5 Litres,,,Hidden,,0.8498523863963783,,26/05/2021,04/06/2025,,ok,fuel
125,Powerplant,P2+/T2+,Where is the fuel expansion tank?,Located in an aluminium box installed on the RH side of the cabin,,,Hidden,,0.8038337556645273,,26/05/2021,04/06/2025,,ok,fuel
126,Powerplant,T2,What additional elements are included in the fuel vent lines in TM aircraft and why are they installed?,Fuel return lines have been added to increase startup reliability with the Arrius engines.,,Training Manual,Hidden,,0.8293612450361251,,26/05/2021,04/06/2025,Yes,ok,fuel
127,Powerplant,P2+/T2+,Name the 4 components of the fuel tank distribution system?,- 2 main tank mounted transfer pumps- Transfer lines- 2 Supply tank mounted prime pumps- Engine feed lines with shut-off valves,,06-12,Hidden,,0.0873673534952104,,26/05/2021,04/06/2025,,ok,fuel
128,Powerplant,P2+/T2+,What guarantees that the supply tanks are always full as long as there is fuel in the main tank?,The transfer pumps,,06-12,Hidden,,0.7520262729376553,,26/05/2021,04/06/2025,,ok,fuel
129,Powerplant,P2+/T2+,What is the dry running time for the transfer pumps?,Approx 20 minutes,,06-12,Hidden,,0.15803572675213218,,26/05/2021,04/06/2025,,ok,
130,Powerplant,P2+/T2+,Describe/compare the Prime Pumps with reference to the transfer pumps?,The prime pumps are identical to the main tank mounted transfer pumps but there is no check valve installed in the pump outlet.,,,Hidden,,0.8950092368759216,,26/05/2021,04/06/2025,,ok,
131,Powerplant,P2+/T2+,Describe how simultaneous flame out is avoided when the tanks are empty?,An airframe mounted foam core is integrated into the RH supply tank which reduces the capacity by 4kgCHECK TRANSFER PUMPS are on!,,06-12,Hidden,,0.7566174543462693,,26/05/2021,04/06/2025,,ok,
132,Powerplant,P2+/T2+,What are the 4 components of the 4 fuel equipment plates?,- Fuel pump- Fuel sensor- Low fuel sensor (supply tank only)- Drain valve,,06-14,Hidden,,0.7133654188364744,,26/05/2021,04/06/2025,,ok,fuel
133,Powerplant,P2+/T2+,The fuel pumps of the main tank are each equipped with a check valve - what is the purpose of the check valve?,The check valve prevents fuel from flowing back should a transfer pump fail.,,06-14,Hidden,,0.4486178965307772,,26/05/2021,04/06/2025,,ok,fuel
134,Powerplant,P2+/T2+,What is the purpose of the predetermined breaking point on the fuel sensors?,"In the event of a crash, they prevent the probes from penetrating the fuel cell.",,Training Manual 06-14,Hidden,,0.7554027447476982,,26/05/2021,04/06/2025,,ok,fuel
135,Powerplant,P2+/T2+,Can a fuel pump be replaced without defueling?,Yes - the motor of the pump is mounted in a separate compartment and can be removed without defueling.,06-16,Training Manual,Hidden,,0.33639427088201046,,31/05/2021,04/06/2025,,ok,fuel
136,Powerplant,P2+/T2+,"What is the maximum rate of flow, in litres per minute, for gravity refueling?",100 litres per minute,06-18,Training Manual,Hidden,,0.38362049264833326,,31/05/2021,04/06/2025,,ok,fuel
137,Powerplant,P2+/T2+,Where is the ground connector located?,"Outside, LH rear side panel of the fuselage?",06-18,Training Manual,Hidden,,0.6102896854281425,This is different to the 'ground socket',31/05/2021,04/06/2025,,ok,
138,Powerplant,P2+/T2+,Where is the ground socket located?,It is located to the right of the filler neck. The ground socket is connected to the fuselage by a flexible ground strap.,06-18,Training Manual,Hidden,,0.9042032603174448,,31/05/2021,04/06/2025,,ok,
139,Powerplant,P2+/T2+,Where are the precision (shunt) resistors for the current measurement of the Transfer pumps located?,On the backside of the overhead panel,06-20,Training Manual,Hidden,,0.12594952387735248,,31/05/2021,04/06/2025,,ok,
140,Powerplant,P2+/T2+,Which respective busbars supply the Fwd Transfer Pump and the Aft Transfer pump?,Fwd transfer pump = Essential Busbar 1Aft Transfer pump = Shedding Busbar 2,06-22,Training Manual,Hidden,,0.8155674668960273,,31/05/2021,04/06/2025,,ok,
141,Powerplant,P2+/T2+,Which respective busbars supply the prime pumps?,Prime pump 1 = Essential Busbar 1Prime pump 2 = Essential Busbar 2,06-22,Training Manual,Hidden,,0.4203650550916791,,31/05/2021,04/06/2025,,ok,
